en	tw	cn	hk	sg	hant	hans	mo	my
3-D film					3D電影	三维电影		
360 Search					360搜索	360搜索		
3D computer					3D電腦	三维计算机		
3D computer graphics					3D電腦圖形	三维计算机图形		
3D Touch		三维触控			3D觸控			
Abstract	摘要；抽象的	摘要；抽象的						
Abstraction	抽象	抽象						
Acceptor	受體	受主						
access	存取權限;存取 (win)；取用 (mac);存取;存取權	访问权限;访问;访问权						
access control list	存取控制列表	访问控制表		访问控制表				访问控制表
access Multiplexer	接取多工器	接入复用器						
access Point	存取點	接入点						
Accessibility	無障礙；協助工具 (win)；輔助功能 (mac)	无障碍；辅助功能 (win/mac)						
account	帳號;帳戶	账号;账户	帳號;帳戶					
Action Button					動作按鈕	操作按钮		
Activate, Activation	啟用，啟動	激活						
activation	啟用	激活						
activation function	啟用功能	激活函数						
Active	主動;使用中的；現行的；有效的；啟用的	有源;使用中的；现用的；有效的；激活的						
Active region	主動區	放大区						
adapter	配接器	适配器						
Adapter, Adaptor	介面卡，配接器 (win)；轉接器 (mac)	适配卡，适配器						
ADC	類比數位轉換器	模拟数字转换器	模擬數碼轉換器					
Add	加入	添加						
add-on	附加元件	附加组件						
address	位址;位址，地址	地址;位址，地址	地址					
address bar	網址列	地址栏	地址列					
addressing	定址	寻址	定址					
addressing modes	定址模式	寻址模式	定址模式					
advanced	進階;進階的	高级;高级的						
advertising area	廣告區	广告位						
agent-oriented programming	代理人導向程式設計	面向代理编程						
Aggregation	聚合	聚合						
AI	人工智慧	人工智能	人工智能	人工智慧				
AI (Artificial intelligence)	人工智慧	人工智能						
AirDrop	AirDrop	隔空投送	AirDrop	AirDrop				
AirPlay		隔空播放			AirPlay			
album (online)	相簿	相册						相簿
Algorithm	演算法	算法						
Aligner	曝光機	光刻机	光刻機					
Allocate	配置	分配						
allocation unit	單位配置	分配单元						
Allocator	配置器	分配器						
always on display	隨顯螢幕	息屏显示	隨顯螢幕				隨顯螢幕	
Always-On Retina display	隨顯 Retina 顯示器	全天候视网膜显示屏	常亮 Retina 顯示器					
amplitude	振幅	幅度						
analog	類比	模拟	模擬					
Analog Broadcasting	類比廣播	模拟广播	模擬廣播					
Analog Television	類比電視	模拟电视	模擬電視				模擬電視	
analogizer					模擬器	模拟器		
AND gate	及閘	与门	與門					
Animoji	Animoji	动话表情	Animoji					
Annotation	註釋 (win)；註解 (mac)；詮釋 (web)	注释 (win)；注解 (mac)						
antivirus	防毒	杀毒						
AOL	美國線上	美国在线						
App bundle	應用程式套件組合 (win)；App 套件 (mac)	应用程序包 (win)；App 捆绑包 (mac)						
App Library	App資料庫	App资源库						
Apple Intelligence		Apple 智能			Apple Intelligence	Apple Intelligence		
Apple Lossless	Apple 保真壓縮	Apple 保真压缩	Apple 無損壓縮					
Apple T2 Security Chip	Apple T2 安全晶片	Apple T2 安全芯片	Apple T2 保安晶片					
Application	應用；應用程式	应用；应用程序;应用程序			應用程式			应用程式
application programming interface	應用程式介面	应用程序接口						
Apply	套用	应用						
Architecture	架構；結構	架构；结构						
archive	壓縮檔	压缩包						压缩档
archives					檔案館;檔案室	档案馆;档案室		
Argument	引數	参数（也称为实际参数，实参）						
Arity	元數（所需運算元的數量）	参数数量						
array	陣列	数组						
array (RAID)	伺服器陣列;硬碟陣列;磁碟陣列;陣列硬碟;陣列伺服器	服务器阵列;硬盘阵列;磁盘阵列;阵列硬盘;阵列服务器		伺服器阵列;阵列伺服器				
Artifact	成品 (win/mac)；產出物 (web)	项目 (win)；成品 (mac)						
Artificial Neural	類神經	人工神经						
ASIC	特定應用積體電路	特殊应用集成电路	特殊應用集成電路		特殊應用積體電路			
assembler	組譯	汇编						
Assembly language	組合語言	汇编语言	匯編語言					
assembly mnemonic	輔助記憶碼	助记符						
Assert, Assertion	判斷提示 (win)；宣告 (win/mac)；聲明 (mac)	断言 (win)；声明 (win/mac)；论断 (mac)						
Assign, Assignment	指派；（程式設計）賦值	分配；（编程）赋值						
assignment operator	設定運算子;指派運算子	赋值运算符	設定運算子				設定運算子	
Asynchronize	非同步	异步						
Asynchronous	非同步的	异步的						
asynchrony	非同步	异步	非同步				非同步	
Atomic	不可分割的	原子的						
Attribute	屬性	属性；特性						
Audio	音訊；音效;音訊	音频	音頻					
audio file	音訊檔	音频档;音频文档;音频文件	音頻檔					
audio input	音訊輸入	音频输入	音頻輸入					
audio output	音訊輸出	音频输出	音頻輸出					
audio profiles	音訊設定檔	情景模式						
audio track	音訊軌	音频轨	音頻軌					
audit	稽核	审核						
augmented reality	擴增實境	增强现实	擴張實境	扩增实境				
Authenticate, Authentication	驗證，認證	验证，认证						
Authorize, Authorization	授權	授权						
Autoboxing	自動裝箱	自动装箱						
Avalanche breakdown	突崩潰	雪崩击穿						
Avalanche diode	雪崩二極體	雪崩二极管						
Avalanche photodiode	雪崩光二極體	雪崩光电二极管						
average bitrate	平均位元率	平均码率						
back chaining	反鏈結	反链接						
Background processes	背景程序，背景處理程序	后台进程						
background traffic	背景流量	后台流量						
backward compatible	向下相容		向下相容				向下相容	
bad sector	壞軌	坏道						
band width	頻寬	带宽						
Bandwidth	頻寬	带宽						
Base class	基底類別;基礎類別	基类						
base name	主檔名	文件主名						
Base Station	基地台		基站			基站		
base type	基本類型	基类型						
baseband	基頻	基带	基帶					
batch	批次;批次處理;批次（處理）	批量;批处理;批（处理）						
batch file	批次檔	批处理文件						
batch programs	批次程式	批处理程序						
Baud	鮑	波特	鮑		鮑	波特		
Baud rate	鮑率	波特率	鮑率		鮑率	波特率		
BEOL	後段製程	后道工序						
Berkeley Software Distribution	柏克萊軟體套件	伯克利软件套件	柏克萊軟件套件					
Biasing	偏壓	偏置						
big data	巨量資料	大数据	大數據					
Bill Gates	蓋茲	盖茨	蓋茨					
binary	二元		二元				二元	
binary function	二元函數;二元函式	双参函数;二元函数						
binary heap	二元堆積	二叉堆	二叉堆積					
binary linked list	二元連結串列	二叉链表	二元連結串列				二元連結串列	
Binary operator	二元運算子	二元运算符						
Binary search	二元搜尋法;二分搜尋	二分查找	二分檢索					
binary search tree	二元搜尋樹	二叉搜索树	二叉搜尋樹				二叉搜尋樹	
Binary tree	二元樹	二叉树	二叉樹					
Bind	繫結 (win)；綁定 (mac)	绑定						
binding	繫結	绑定						
Bionic					仿生	仿生		
bit	位元	比特;位	位元	位元			位元	位元
bit error	位元錯誤	比特差错						
bit error rate	位元錯誤率	比特误码率	位元錯誤率				位元錯誤率	
bit field	位元欄	位段						
bit pattern	位元型樣	位模式		位模式				位模式
bit string	位元串	位串						
bitcent					比特分	比特分		
bitcoin					比特幣	比特币		
BitComet					比特彗星	比特彗星		
Bitmap	點陣圖	位图						
bitrate	位元速率;位元率	码率;比特率	位元速率;位元率				位元速率;位元率	
BitSpirit					比特精靈	比特精灵		
bitwise	按位元	按位						
bitwise operation	位元運算	位操作	位元運算	位操作			位元運算	位操作
black box testing	黑箱測試	黑盒测试						
Blade Server	刀鋒伺服器	刀片服务器						
blank screen	黑畫面	黑屏						
block	封鎖;封鎖；阻擋;（程式碼）區塊	屏蔽;屏蔽；阻止;（代码）块			完全屏蔽	完全屏蔽		
block (Unicode)		区块		区块				区块
block chaining	塊鏈結;區塊鏈結	组链接;区块链接						
block cipher	區塊加密法	分组密码						
block code	區塊碼	分组码						
block diagram	方塊圖	框图						
Blocker	封鎖程式 (win)；阻擋器 (mac)	阻止程序 (win)；拦截器 (mac)						
blog	部落格	博客	網誌					部落格
Blue Screen	藍白畫面	蓝屏	藍畫面		藍屏			
Blue Screen of Death	藍白當機	蓝屏死机	藍畫面死機		藍屏死機			
bluetooth	藍牙	蓝牙	藍牙		藍牙	蓝牙		
bookstw					博客來	博客来		
boolean	布林	布尔	布林					
boolean algebra	布林運算	布尔逻辑						
Boot Camp	啟動切換	启动转换	開機切換					
boot disk	啟動磁碟	启动盘						
boot loader	啟動載入程式	启动引导程序						
bottom-up	由下而上	自底向上						
Bounce	退回；彈跳	退回；弹跳						
Boyce-Codd normal form	BC正規形式	BC范式						
brain-machine interface	人機介面	脑机接口						脑机介面
Breakdown voltage	崩潰電壓	击穿电压	擊穿電壓					
Breakpoint	中斷點	断点						
Broadband	寬頻	宽带						宽频
Bubble sort	泡沫排序	冒泡排序						
buffer	緩衝區	缓冲器						
buffer overflow	緩衝區溢位	缓存溢出						
bug	錯誤		錯誤				錯誤	
Bug fixes	錯誤修正	错误修复						
Build (noun)	構件；版本（號）	构件；版本（号）						
Build (verb)	建構 (mac)；建置，組建 (win)	构建						
build-in	內建	内置;内置 (win)；内建 (mac)		内建				
Built-in	內建		內建				內建	
Bundle (noun)	組合包 (win)；套件 (mac)；套組	捆绑包						
Bundle (verb)	整合	整合						
Burn	燒錄	刻录						
Bus	匯流排	总线	匯流排					
Business Model	商業模式	商业模型						
byte	位元組	字节	位元組				位元組	
ByteDance					字節跳動	字节跳动		
Cable	纜線	线缆				线缆		
cache	快取;快取記憶體，快取	高速缓存，缓存;缓存	緩衝記憶體;快取				緩衝記憶體;快取	
cache memory	快取記憶體;高速緩衝記憶體	高速缓冲存储器;缓冲存储器	緩衝記憶體;高速緩衝記憶體				緩衝記憶體;高速緩衝記憶體	
cached webpage	頁庫存檔	网页快照						
calculator	計算機	计算器	計數機				計數機	
calendar	行事曆	日历	日曆	日历				日历
calendar program	行事曆程式	日历程序						
Call	呼叫	调用						
Call forwarding	來電轉駁	呼叫转移						
Call Level Interface (CLI)	呼叫層級介面	调用层接口						
Callback	回呼	回调						
camcorder	攝錄影機	摄像机	攝像放像機					
camera phone	照相手機	照相手机	相機手機					
campus network	校園網路	校园网	校園網絡				校園網絡	
capture	擷取		擷取				擷取	
card reader	讀卡機	读卡器	讀卡器					
CarPlay	CarPlay	CarPlay车载						
carriage return character	回車字元	回车符						
Carriage-return	回車字元	回車符						
Carrier	載子	载流子						
CDMA	分碼多重進接	码分多址	碼分多址					
CDN	內容傳遞網路	内容分发网络						
Cell	儲存格	单元格						
Cellular	行動網路	蜂窝网络	流動網絡					
Cellular data	蜂巢式資料	蜂窝数据	蜂巢式數據					
Cellular network	蜂巢式網路	蜂窝网络	蜂巢式網絡					
Ceramic Shield front	超瓷晶盾面板	超瓷晶面板	陶瓷晶體護面					
Certificate	憑證	证书	證書					
chain		链		链				链
chaining		链接		链接				链接
chaining backward	鏈結反向	链接反向						
chaining forward	鏈結正向	链接正向						
chaining of commands	命令鏈結	命令链接						
chaining search	鏈結搜尋	链接搜索						
channel	管道;頻道;通道	信道;沟道	頻道	波道				
character	字元	字符						
character generator	字元產生器	字符生成器						
character printer	字元列印機	字符打印机						
Check	查看	查看						
check bit	核對位元	检验位						
Check box, Checkbox	核取方塊 (win)；註記框 (mac)	复选框						
check button	核取按鈕	复选按钮						
checkbox	核取方塊	复选框						
checksum	核對和	检验和						
Chief Executive Officer (CEO)	執行長	首席执行官	行政總裁	行政总裁				总执行长
Chief Information Officer (CIO)	資訊長	首席信息官	資訊總監					总资讯长
Chief Operating Officer (COO)	營運長	首席运营官	營運總監					总营运长
Chief Product Officer (CPO)	產品長	首席产品官						总产品长
Chief Technology Officer (CTO)	技術長	首席技术官						总技术长
child class		子类		子类				子类
chip	晶片	芯片						晶片
Cinematic video stabilization	電影級視訊穩定	影院级视频防抖	電影級影片防震					
Class	類別	类						
class constructor	類別的建構函數	类的构造函数		类的构造函数				类的构造函数
class declaration	類別宣告	类声明						
class definition	類別定義	类定义						
class destructor	類別的破壞函數	类的析构函数		类的析构函数				类的析构函数
class instance	類別的實例;類別實例	类的实例;类实例						
class library	類別館	类库						
class member	類別成員	类成员						
class method	類別方法	类方法						
class of C++	C++的類別;C++類別	C++的类;C++类						
class of Java	Java類別;Java的類別	Java类;Java的类						
class template	類別模板	类模板						
class variable	類別變數	类变量	類變量					
class-based	類別為基	基于类						
class-based programming	類別為基的程式設計	基于类的编程						
class-orientation	類別導向	面向类						
classloader	類別載入器	类加载器						
Click (vs. Tap)	點選 (win)；按一下，點/選按 (mac)	点击 (win)；点按 (mac)						
client		客户端		客户端				客户端
Client-side	用戶端	客户端						
clipboard	剪貼簿;剪貼簿 (win)；剪貼板 (mac)	剪贴板						剪贴簿
Clips	可立拍	可立拍	奇趣拍					
Clock gating	時脈閘控	时钟门控						
clock rate	時脈頻率	时钟频率;主频	時鐘頻率	时钟频率				时钟频率
clock signal	時脈訊號;時鐘訊號	时钟信号;时间脉冲信号						
Clone	複製	克隆						
cloud computing	雲端運算	云计算						
cloud computing storage	雲端儲存	云存储		云储存				云端储存
cloud data	雲端數據	云数据						
cluster	叢集	集群;聚类		聚类				聚类
code		代码		代码				代码
Code division	分碼	码分	碼分					
code generator	碼產生器	代码生成器						
code list					代碼表	代码表		
code page	頁碼		頁碼				頁碼	
Cohesion	內聚	内聚						
Collaborate, Collaboration	（協同）合作	协作						
collaboration	協同運作	协作						
Collector	集極	集电极						
Collector junction	集極接面	集电极结;集电结						
color monitor	彩色螢幕		彩色螢幕				彩色螢幕	
Color Sync Utility	色彩同步工具程式	色彩同步实用工具	「色彩同步」工具程式					
Combo box	組合方塊；下拉式方塊 (win)	组合框						
combobox	組合方塊	组合框						
Come with	隨附	随附						
Command	指令	命令						
Command line	命令列	命令行			命令列	命令行		
Comment	留言;註解，註釋	评论;注释 (win)；注解，批注 (mac)						
Commit	提交	提交						
Common-mode rejection ratio	共模拒斥比	共模抑制比						
Communicating sequential processes	交談循序程式	通信顺序进程						
Communication	通訊;通訊學	通信;通信学		通讯;通讯学	通訊			通讯;通讯学
Community	社群	社区						
compact disc	光碟	光盘		光碟				光碟
Compact Disc Driver	光碟機	光盘驱动器		光碟机				光碟机
Compact fluorescent lamp	省電燈泡	节能灯	慳電膽					
Compatibility	相容性	兼容性						
Compatible	相容的;相容	兼容的;兼容	相容				相容	
Compile time, Compile-time	編譯期	编译期，编译时						
Compile, Compilation	編譯	编译						
Compiler	編譯器	编译器						
complement		补码	補碼	补码			補碼	补码
complexity class	複雜度類別;複雜性類別	复杂度类;复杂性类						
Component	組件；元件;元件	组件		组件				组件
Composition	組合	组合						
Compress	壓縮	压缩						
computer	電腦	电子计算机	電腦	电脑			電腦	电脑
computer architecture	電腦架構	计算机体系结构		电脑架构				电脑架构
computer programming	程式設計	程序设计						程式设计
computer science	電腦科學	计算机科学						电脑科学
computer terminal		终端		终端				终端
computer-generated imagery		电脑产生图像		电脑合成影像	電腦合成影像			电脑合成影像
Concurrency	並行性，並行;並行	并发性，并发;并发						
concurrency-oriented	平行導向	面向并发						
Concurrent	並行的；同時的	并发的；同时的						
concurrent computing	並行計算	并发计算						
Configuration	配置；設定 (mac)；組態 (win)	配置						
configuration files	組態檔	配置文件						
configure/configuration	組態	配置						
Connect, Connection	連接；（網路、資料庫）連線	连接						
connection	連線	连接						
constant	常數	常量						
constant bitrate	固定位元率	固定码率						
Constraint	約束；限制	约束；限制						
constructor	建構函式;建構子，建構式，建構函式	构造函数		构造函数				构造函数
contact	聯絡;聯絡人	联系;联系人						联络;联络人
contacts					通訊錄	通讯录		
Container	容器	容器						
content-addressable memory	可定址內容記憶體	内容可寻址存储器;结合存储						
Context	背景（關係）；環境；上下文；内容	背景（关系）；环境；上下文；内容						
context switch	上下文交換	上下文切换						
Continuity	接續互通	连续互通						
Continuous delivery	持續交付	持续交付						
Continuous deployment	持續部署	持续部署						
Continuous integration	持續整合	持续集成						
Contour	輪廓光	轮廓光	輪廓光				輪廓光	
Control	控制元件，控制項;控制項	控件						
convert		转换		转换				转换
Coordinate	座標	坐标						
copper clad laminate	銅箔基板	覆铜板						
Copy	複製 (win)；拷貝 (mac)	复制 (win)；拷贝 (mac)						
copyright	著作權	著作权	版權				著作權	
copyright information	著作權資訊	著作权信息		著作权信息			著作權資訊	著作权信息
Coroutine	協程，協同程式	协程，协同程序						
cost-effective	CP值	性价比	性價比					
Coupling	耦合	耦合						
cracker	劊客	溃客	潰客					
crash	當機;當機 (win/mac)；毀損 (win)	死机;崩溃 (win/mac)；故障 (win)	死機	当机				当机
create	建立	创建						
create new	新增							
CRT	映像管	显像管	顯像管					
current version	目前版本	当前版本						
Cursor	游標	光标						
Custom	自訂	自定义	自訂				自訂	
customization	客製化	定制						
cut	剪下	剪切						
Cyber-Physical System	網宇實體系統	信息物理系统						
cyberbullying	網路霸凌	网络欺凌	網上欺凌					
DAC	數位類比轉換器	数字模拟转换器	數碼模擬轉換器					
daemon	守護行程	守护进程						
daisy chaining	菊式鏈結	菊花链接						
data	資料	数据	數據					
data broadcasting	資料廣播		數據廣播			数据广播		
data center	資料中心	数据中心	數據中心					
data chaining	資料鏈結	数据链接						
data cleansing	資料淨化	数据清洗						
data dredging	資料挖掘	数据捕捞	數據捕撈					
data execution protection	系統記憶體保護	数据执行保护	數據執行保護					
data frame	資料訊框	数据帧	數據幀					
Data link layer	資料連結層	数据链路层						
data mart	資料市集	数据集市	數據市集					
data mining	資料探勘	数据挖掘	數據探勘					
data packet	封包	数据包						
data source	資料來源	数据源	數據源					
Data structure	資料結構	数据结构						
data type		数据类型			資料類型			
data warehouse	資料倉儲	数据仓库	數據倉庫					
Database	資料庫	数据库	資料庫					
Database schema	資料庫綱要 (mac)；資料庫結構描述 (win)	数据库架构，数据库模式						
datagram	資料報	数据报文						
dead robot					當機器	当机器		
deadlock	死結;死結；鎖死	死锁						
debug	除錯;除錯 (win/mac)；偵錯 (win)	调试	除錯	调试			除錯	调试
Debugger	除錯器	调试器						
declaration	宣告		宣告				宣告	
Declare, Declaration	宣告，聲明	声明						
decode	解碼			解码				解码
Deep Fusion	深度融合	深度融合	深度融合				深度融合	
default	預設	默认	預設				預設	
definition	解析度;定義；解析度	清晰度;定义；清晰度	清晰度					
defragmentation	磁碟重組	磁盘碎片整理						
defragmentation program	磁碟重組工具	磁盘碎片整理程序						
Delegate, Delegation	委派	委托						
denial-of-service (DoS)	阻斷服務	拒绝服务						
denormalization	解除規格化	反规范化						
Dependency	相依性；依賴關係	依赖						
dependent type	依值型別;依存型別	依赖类型;依存类型						
Depletion	空乏	耗尽	空乏					
Depletion layer	空乏層	耗尽层						
Depletion region	空乏區	耗尽区						
dereference	解除參照	解引用						
derivation list	衍化列	继承列表						
derive	衍生	派生						
derived class	衍生類別	派生类						
derived type	衍生類型	派生类型						
Design pattern	設計模式	设计模式						
desktop	桌上型	桌面型						
desktop computer	桌上型電腦	台式机	桌上電腦	台式电脑			桌上電腦	台式电脑
desktop version	電腦版		電腦版				電腦版	
destruct	解構	析构						
destructor	解構函式;解構式，解構函式	析构函数		析构函数				析构函数
Detect, Detection	偵測	检测						
Device	裝置;元件	设备;器件		装置				
Dialog	對話方塊 (win)；對話框 (mac)	对话框						
dialog box	對話方塊	对话框						
Dictionary		词典			辭典			
Digital	數位;數位影像;數位的；數位化	数字;数字图像;数字的；数字化	數碼;數碼圖像	数码;数码图像			數碼	数码
digital asset	數位資產	数字资产	數碼資產	数码资产				
digital broadcasting	數位廣播	数字广播	數碼廣播	数码广播				数码广播
digital camera	數位相機	数字相机	數碼相機	数码相机				数码相机
Digital certificate	數位憑證	数字证书						
digital certificates	數位憑證	数字证书	數碼證書	数码证书				
Digital Color Meter	數位測色計	数码测色计	數碼測色計					
Digital Crown	數位錶冠	数码表冠	數碼錶冠					
digital distribution	數位發行	数字发行	數碼發行	数码发行				
digital identity	數位身分	数字身份	數碼身份	数码身份				数码身份
digital mapping	數位製圖	数字测图	數碼製圖	数码制图				数码测图
digital media	數位媒體	数字媒体	數碼媒體	数码媒体				数码媒体
digital mobile	數位行動	数字移动	數碼流動	数码移动				数码移动
digital mode	數位模式	数字模式	數碼模式	数码模式				数码模式
digital photo	數位相片	数字照片	數碼相片	数码照片				数码相片
digital right	數位版權	数字版权	數碼版權					数码版权
Digital signature	數位簽章	数字签名	數碼簽章	数码签名				数码签名
digital television	數位電視	数字电视	數碼電視	数码电视				数码电视
digital terrestrial television	數位無線電視;無線數位電視	地面数字电视;数字地面电视	數碼地面電視;地面數碼電視	数码地面电视;地面数码电视			地面數字電視;數碼地面電視	数码地面电视;地面数码电视
digital video	數位影片;監視;視訊;影片	视频;数字视频;监控	視像;數碼影片;監視;影片	视频;数码视频			視像;影片	视频;数码影音
digital watermarking	數位浮水印	数字水印	數碼水印	数码水印				数码水印
digitalisation	數位化	数字化	數碼化	数码化				数码化
dile descriptor		文件描述符			檔案描述子			
Diode	二極體	二极管						
Directory	目錄	目录						
Directory Utility		目录实用工具			目錄工具程式			
Discrete component	離散元件	分立器件						
Disk	磁碟;碟	磁盘;盘						磁碟
Disk image	磁碟映像檔	磁盘映像						
Dispatch	分派	分派；调度						
display device	顯示器		顯示器				顯示器	
display memory	顯示記憶體	显示内存						
Distortion					失真	失真		
Distribute, Distribution	分發；分配；分散	分发；分配；分布						
distributed	分散式	分布式						
Distribution	發布/發行（版本）；發行套件	发行（版本）						
DM	差量調變	增量调制						
do Not Track	停止追蹤	请勿追踪						
document	文件	文档；文稿	文件				文件	
document file	文件檔案	文档文件		文档文件				文档文件
document object model (DOM)	文件物件模型	文档对象模型						
document-oriented	文件導向	面向文档						
Domain	網域	域						
domain-key normal form	DK規格化	DK范式						
Donor	施體	施主						
DPCM	脈波差量編碼調變	差分脉冲编码调制						
Drain	汲極	漏极						
drive	磁碟機	磁盘驱动器						
drive - system drive	系統磁碟	系统盘	系統磁碟機					
drive letter	磁碟機代號	盘符						
driver	驅動程式	驱动程序						驱动程式
Drop-down list	下拉式清單	下拉列表						
Drop-down menu	下拉式功能表 (win)；下拉式選單 (mac);下拉式選單	下拉菜单 (win/mac);下拉菜单						
Drop-down, Dropdown (noun)	下拉式選單	下拉菜单						
Drop-down, Dropdown (verb)	下拉	下拉						
DSP	數位訊號處理器	数字信号处理器	數碼訊號處理器					
Dual-link	雙連結	双通道						
duck typing	鴨子型別	鸭子类型						
DVB-H	手持式數位視訊廣播	手持地面无线	手持式數碼視像廣播					
dynamic binding	動態繫結;動態繫結，動態連結，動態綁定	动态绑定						
Dynamic Island	動態島	灵动岛						
dynamic typing	動態型別	动态类型						
Early effect	爾利效應	厄利效应						
edit bar	編輯列	编辑栏						
Electrical ballast	安定器	镇流器	鎮流器					
Electrical engineering	電機工程	电气工程						
Electron hole	電洞	空穴						
Electron mobility	電子移動率	电子迁移率						
Element	元素；元件	元素；元件						
email	電子郵件	电子邮件		电邮				电邮
email (mailbox)	電子信箱	邮箱	郵箱					
Email, E-mail	電子郵件	电子邮件						
Emitter	射極	发射极						
Emitter follower	射極隨耦器	射极跟随器						
Emitter junction	射極接面	发射极结;发射结						
emoji					繪文字	绘文字		
Enable	啟用	启用						
Encapsulation	封裝	封装						
enclosed	圍繞		圍繞				圍繞	
enclosed character	圍繞字元	带圈字符						
end user	終端使用者	最终用户						
end-user license agreements	終端使用者授權協定	最终用户许可协议						
Enter	確認；進入;Enter	回車鍵	Enter				Enter	
enter key	確認鍵	回车键		确认键				确认键
enterprise mobility management	企業行動管理	企业移动管理						
Entity	實體	实体						
enumeration	列舉	枚举						
enumerators	列舉元	枚举成员;枚举器						
Epitaxy	磊晶	外延						
Equal	相等的	相等的						
Equality	相等性，相等	相等性，相等						
equation					方程式	方程式		
error correcting code	錯誤更正碼	纠错码	除錯碼					
error detecting code	偵錯碼;誤差檢測碼	检错码;差错检测码						
escape	跳脫	转义						
Escape code	跳脫碼，逸出碼，轉義碼	转义码						
Etching	蝕刻	刻蚀						
Ethernet	乙太網路	以太网						
EULA	終端使用者授權合約	最终用户许可协议						
Event	事件	事件						
Exabyte					艾位元組	艾字节		
Exception	例外	异常						
exception handling	例外處理	异常处理						
Excitation table	激發表	激励表						
exclusive or	互斥或	异或	異或					
executable					可執行	可执行		
executable file	可執行檔	可执行文件		可执行文件				可执行文件
executor					執行者	执行者		
exit/quit	結束	退出						
exit/quit application	結束應用程式;結束程式	退出应用程序;退出程序	結束應用程序					
expand	擴充	扩展						
Explicit	明確的 (win)；顯式 (mac)	显式						
export	匯出	导出						
Express Cards	快速卡	快捷交通卡	特快卡					
expression	運算式 (win)；表示式 (mac)；表達式	表达式		表达式				表达式
extended block	擴充區	扩展区	擴充區	扩展区			擴充區	扩展区
extended Chinese character		扩展汉字			擴充漢字			
extended reality	延展實境	扩展现实						
extensible	可延伸	可扩展						
