en	tw	cn	hk	sg	hant	hans	mo	my
extensible business reporting language	可延伸商用報告語言	可扩展商业报告语言						
extensible firmware interface	可延伸韌體介面	可扩展固件接口						
extensible markup language	可延伸標示語言	可扩展置标语言						
Extension	擴充（程式、功能）；擴充功能 (win)；延伸功能 (mac);副檔名	扩展（程序、功能）;扩展名;扩展		扩展				扩展
extension name	副檔名	扩展名						
External	外接	外置	外置					
external hard drive	外接硬碟	外置硬盘						
external link	外部連結		外部連結				外部連結	
Face ID		面容ID			Face ID			
Facebook	臉書	脸谱	Facebook	面簿			Facebook	脸书
FaceTime	FaceTime	FaceTime通话						
facial recognition	臉部辨識	人脸识别	人面辨識				人面辨識	
fairchild semiconductor	快捷半導體;快捷半導體公司	仙童半导体;飞兆半导体公司	快捷半導體公司			飞兆半导体		
FDM	分頻多工	频分复用	頻分複用					
FDMA	分頻多重進接	频分多址	頻分多址					
Feature	特色，特點，特徵	特色，特点						
Feature (vs. Function)	（特殊的）功能	（特殊的）功能						
feature phone	功能型手機	功能手机	功能電話					
feedback	回饋	反馈	反饋					
FEOL	前段製程	前道工序						
fiber distributed data interface	光纖分散式資料介面	光纤分布式数据接口	光纖分散式數據介面					
Field	欄位；域;欄位	字段，栏位；域;字段						
Field Effect Transistor	場效電晶體	场效应管						
fifth normal form	第五規格化	第五范式						
File	檔案	文件						
File namespace	檔案命名空間	文件命名空间						
File system	檔案系統	文件系統						
filename	檔案名稱;檔名;檔案名字	文件名称;文件名;文件名字						
filename extension	副檔名	扩展名;文件扩展名						
film streaming	影片串流	影片流						
Filter	過濾器	过滤器						
Find	尋找	查找						
Finder		访达			Finder	访达		
firmware	韌體	固件						
first normal form	第一規格化	第一范式						
Flag	旗標	标记						
Flash memory	快閃記憶體	闪存						
flight mode	飛航模式	飞行模式						
Flip-flop	正反器	触发器						
floppy disk	軟碟	软盘		软碟				
floppy disk drive	軟碟機	软盘驱动器						
Fluorescent	螢光	荧光	熒光					
Flush	排清，清除;對齊，齊平	刷新;对齐，齐平						
Flyover	飛行俯瞰	俯瞰	航覽					
Folder	資料夾 (win)；檔案夾 (mac);資料夾	文件夹						
Font	字型 (win)；字體 (mac);字型	字体						
footer	頁尾	页脚						
footnote	章節附註;註腳	尾注;脚注						
Force Touch	力度觸控	力度触控	力度觸控					
foreign key	外來鍵	外键						
Form	表單	表单;窗体	表單	窗体			表單	窗体
Format (noun)	格式	格式						
Format (verb)	格式化	格式化						
forum	論壇	论坛	討論區					
Forward	順向;轉發，轉送，轉寄	正向;转发，转送，转寄						
forward chaining	正向鏈結	前向链接						
forward error correction	前向錯誤更正;正向錯誤校正	前向纠错						
Fourteen-segment display	十四段顯示器	十四段数码管	十四劃管					
fourth normal form	第四規格化	第四范式						
Fragment	片段	片段						
Frame	影格;影格，畫面；框架;訊框	帧;帧；框架	幀	帧			幀	帧
frame pointer	影格指標	帧指针	框指標					
frame rate	影格率	帧率	幀率	帧率			幀率	帧率
Frame rate ；FPS (frames per second)	影格率，畫面更新率	帧率						
frame synchronization	影格同步化	帧同步	框同步化					
Framework	框架	框架						
Frequency division	分頻	频分	頻分					
Frozen	（軟體或影片）畫面定格；凍結，鎖定	冻结，锁定						
full high definition (full HD)	超高畫質							
Full High definition/Full HD	1080P	高清	全高清					
full screen	全螢幕	全屏	全螢幕				全螢幕	
Full screen, Fullscreen	全螢幕	全屏						
full-size smartphone	全螢幕手機	全面屏手机	全螢幕手機					
fullwidth	全形	全角						
Function	函式，函數;函式	函数	函數					
Function (vs. Feature)	（一般的）功能	（一般的）功能						
function library	函式庫	函数库						
functional					函數式	函数式		
functional programming	函數式程式設計	函数式编程						
functional programming language	函數式程式語言	函数编程语言		函数编程语言				函数编程语言
Functionality	功能	功能						
Game	遊戲	游戏						
GarageBand		库乐队			GarageBand	库乐队		
garbage	多餘的資料		多餘的資料				多餘的資料	
Gate	閘極	栅极						
Gate circuit	閘電路	门电路	門電路					
Gateway	閘道器	网关		网关				网关
Gateway, Inc.	桀威	捷威						
General	一般的	通用的						
Generate	產生，生成	生成						
generator	產生器	发生器	發生器					
Generic	通用的	通用的						
Generics	泛型	泛型						
get	取得	获取						
gigabit ethernet	十億位元乙太網路	吉比特以太网						
Gigabit-class LTE	Gigabit 等級 LTE	千兆级 LTE	Gigabit-class LTE					
Gigabyte					吉位元組	吉字节		
global	全域;全域的；總體的，整體的，通用的	全局;全局的						
Global System for Mobile Communications Association	全球行動通訊系統協會	全球移动通信系统协会	全球流動通訊系統協會					
GlobalFoundries	格羅方德	格芯						
Google				Google	Google			Google
Google Chrome Frame	Google Chrome內嵌瀏覽框	谷歌浏览器内嵌框架						
Google Cloud Messaging	Google雲端通訊	Google云消息传递	Google雲端通訊				Google雲端通訊	
Google Docs	Google文件;Google 文件	Google文档;Google 文档						
Google Toolbar	Google工具列;Google 工具列	Google工具条;Google 工具条						
Google Video	Google影片;Google 影片	Google视频;Google 视频						
GPRS	通用封包無線服務	通用分组无线服务						
Graph	圖	图						
graphics	圖學	图形学	圖學	图形学			圖學	图形学
graphics processing unit	圖形處理器	图形处理器						
graphing calculator	繪圖計算機	图形计算器						
greedy algorithm	貪婪法;貪婪演算法	贪心算法;贪心法	貪婪演算法	贪心算法			貪婪演算法	贪心算法
Green Screen	綠白畫面	绿屏	綠畫面		綠屏			
Green Screen of Death	綠白當機	绿屏死机	綠畫面死機		綠屏死機			
gridlines	格線	网格线						
group	群組	组群						
Group box	群組方塊	分组框，群组框						
group notice	群組提示	组提示						
GSM mobile	GSM行動	GSM移动	GSM流動					
GUI	圖形化使用者介面	图形用户界面						
GUID Partition Table	GUID磁碟分割表	全局唯一标识分区表						
hackathon					黑客松	黑客松		
hacker	駭客	黑客	黑客					骇客
halfwidth	半形	半角						
Handle	控制代碼	句柄						
Handler	處理常式，處理程式，處理器;處理常式	处理程序，处理器;处理函数						
Handoff		接力			Handoff	接力		
Haptic Touch	觸覺回饋觸控	触感触控	觸感觸控					
Hard baking??	硬烤	硬烘干						
hard disk	硬碟	硬盘						
hard disk drive (HDD)	硬碟機	硬盘驱动器						
hard-coded	寫死	硬编码						
Hardware	硬體	硬件	硬件					
Hash	雜湊	哈希;散列	雜湊				雜湊	
HDMI	高畫質多媒體介面	高清多媒体接口	高清多媒體介面					
head crash	磁頭損壞	磁头划碰						
header	檔頭;頁首	标头;页眉						
Header file	標頭檔	头文件		头文件				头文件
Heap	堆積	堆						
heapsort	堆積排序	堆排序						
hearts	傷心小棧	红心大战						
Help	使用說明；說明；幫助	帮助						
Help and Support	說明與支援	帮助与支持						
help document	說明文件	帮助文档						
Heterojunction	異質接面	异质结						
Hierarchical View	多層次樹狀介面	分层视图;分层树形视图						
Hierarchy	階層	层次结构						
High definition	高畫質;高解析度，高畫質	高清;高清晰度，高清	高清					
high definition (HD)	高畫質;高解析	高清;高清晰	高清;高清晰					
high fidelity (Hi-Fi)	高傳真	高保真	高傳真	高保真			高傳真	高保真
High-intensity discharge	高強度氣體放電燈	金卤灯						
High-Key Mono	高色調燈光黑白	高调单色光	高色調黑白燈光				高色調黑白燈光	
high-level language	高階語言	高级语言	高階語言	高级语言			高階語言	高级语言
high-level programming language	高階程式語言	高级编程语言	高階程式語言				高階程式語言	
high-resolution audio	高音質音訊	高清音频	高清音頻					
high-resolution sound quality	高音質	高清音质	高清音質					
highlight	突出顯示;突顯		突出顯示;突顯				突出顯示;突顯	
holographic	全像	全息						
home	家庭	家庭	家居	家庭				家庭
home address		家庭地址		家庭地址				家庭地址
Home button	主畫面按鈕	主屏幕按钮	主畫面按鈕					
Home folder	主資料夾 (win)；個人專屬檔案夾 (mac)	主文件夹 (win)；个人文件夹 (mac)						
Home page	首頁，主頁	主页						
Hong Kong Supplementary Character Set					香港增補字符集	香港增补字符集		
hook	勾點	钩子						
Host file	主機檔案，host 檔案	主机文件						
hosting	代管	托管	寄存				寄存	
Hudong Baike					互動百科	互动百科		
HyperText Markup Language	超文件標示語言	超文本标记语言;超文本置标语言						
I support					我支持	我支持		
Icon	圖示 (win)；圖像 (mac);圖示	图标						
ID	身分	身份	身份					
IDE	整合式開發環境	集成开发环境						
iDEN	整合數位強化網路	集成数字增强网络						
Identifier	識別字;識別碼	标识符						
Idle	閒置	闲置						
if and only if	若且唯若	当且仅当						
IGBT	絕緣閘雙極電晶體	绝缘栅双极晶体管						
image	影像；圖像，圖片；映像檔	镜像;影像；图像，图片；映像		镜像				镜像
Image Capture	影像擷取	图像捕捉	影像截取					
image file	圖檔	图像文件						
image macro	哏圖	梗图	梗圖					
Immutable	不可變的；無法更改的	不可变的；不可更改的						
imperative programming	指令式程式設計	命令式编程						
implement	實作	实现		实现				实现
Implementation	實作（品）	实现						
Implicit	隱含的 (win)；隱式 (mac)	隐式						
import	匯入	导入	匯入	导入			匯入	导入
incandescent lamp	白熾燈	白炽灯	鎢絲膽					
inch wafers					吋晶	吋晶		
Incognito mode	無痕模式	隐身模式						无痕模式
Indent	縮排	缩进						
Industry and Information Technology					工業和信息化	工业和信息化		
Info	資訊	简介						
info (information)		信息;资讯		资讯	資訊			资讯
Information	資訊	信息		资讯				资讯
information age	資訊時代	信息时代	資訊年代			资讯时代		
Information and Communication Technology	資訊及通訊科技	信息和通信技术						
Information Engagement	資訊參與	信息接触						资讯接触
Information industry	資訊工業	信息产业						
Information Management	資訊管理	信息管理				资讯管理		
Information overload	資訊超載	信息过载	資訊超載					
Information Science	資訊學	信息科学;信息学	資訊科學					资讯科学;资讯学
information security	資訊安全	信息安全	資訊保安					资讯安全
Information Technology	資訊科技	信息技术		资讯科技				资讯工艺
Information theory	資訊理論	信息论		信息论				
Inheritance	繼承	继承						
Initialization	初始化	初始化						
injection		注入		注入				注入
Inline	行內；內嵌;行內	内联						
installation package	安裝套件	安装包						
Instance	實體；實例	实例						
instance method		实例方法		实例方法				实例方法
Integrate	整合	集成						
Integrated	整合式，整合的	集成的						
integrated circuit	積體電路	集成电路	集成電路					
Integrated Development Environment (IDE)	整合式開發環境	集成开发环境						
Integrated Device Electronics (IDE)	整合裝置電路	集成设备电路						
Integrity	完整性	完整性						
intellectual property	智慧財產權	知识产权	知識產權					
intellectualize	智慧化	智能化	智能化					
intelligence	智慧型			智慧型				智慧型
Inter-Process	行程間	进程间	行程間					
Inter-Process Communication	行程間通訊	进程间通信	行程間通訊					
Interact, Interaction	互動	交互						
interactive entertainment		互动娱乐		互动娱乐				互动娱乐
interacts	互動	交互						
interface	介面	接口						
interface (frontstage)	介面		介面				介面	
internal link	內部連結		內部連結				內部連結	
Internal Storage	內部儲存	内存 (仅手机等便携装置，民间称谓)						
Internationalization (I18N)	國際化	国际化						
Internet	網際網路	互联网	互聯網				互聯網	
Internet bar	網咖	网吧	網吧					
Internet Content Provider (ICP)	線上內容提供者	互联网内容提供商	互聯網內容供應商	互联网内容供应商				互联网内容供应商
Internet culture	網路文化							
Internet forum	網路論壇							
Internet Key Exchange	網際網路金鑰交換	因特网密钥交换	互聯網金鑰交換					
Internet Service Provider (ISP)	網際網路服務提供者	互联网服务提供商	互聯網服務供應商	互联网服务供应商				互联网服务供应商
Interpreted language	直譯語言	解释型语言						
Interpreter	直譯器	解释器						
Intranet	內部網路	内部网络;内联网;内部网	內聯網					
Invoke	呼叫 (mac)；執行，叫用 (win)	调用		调用				调用
Ion implantation	離子佈植	离子注入						
IP core	矽智財	IP核						
Iterate	疊代；；反覆（運算）	迭代；；重复、循环（访问）						
Iteration	疊代	迭代						
Iterator	疊代器	迭代器						
Jet Black	曜石黑色	亮黑色	亮黑色					
JFET	接面場效電晶體	结型场效应管						
judge	解題系統	评测系统						
Junction capacitance	接面電容	结电容						
Junctional	接面型	结型						
Kernel	核心	内核						
Key	金鑰，密鑰;金鑰	密钥						
Keybind	快速鍵	快捷键						
keyboard layout	鍵盤配置	键盘布局						
keygen	序號產生器	注册机						
Lag	延遲	延迟						
Landline	固網電信	固定电话	固網電話					
landscape	橫螢幕	横屏幕	橫螢幕				橫螢幕	
language package	語言套件	语言包						
Language-Oriented Programming	語言導向程式設計	面向语言的程序设计						
laptop/notebook computer	筆記型電腦	笔记本电脑	手提電腦	手提电脑			手提電腦	手提电脑
laser	雷射	激光	激光	镭射				雷射
LaserDisc	雷射影碟	激光视盘	鐳射影碟	镭射碟				镭射影碟
Latch	閂鎖	锁存器	鎖存器					
launch bar	啟動列	启动栏						
Layout	布局，配置	布局，配置						
Lazy loading	惰性載入；消極式載入；延遲載入；懶載入	延迟加载；懒加载						
Leakage cable	洩波電纜	泄漏电缆				泄漏电缆		
LeCloud					樂視雲計算	乐视云计算		
Lexer, Lexical analyzer	詞法分析器	词法分析器						
Lexical analysis	詞法分析	词法分析						
Library	程式庫，函式庫;函式庫	程序库，函数库;库	函式庫	库			函式庫	库
LiDAR Scanner	光學雷達掃描儀	激光雷达扫描仪	LiDAR 感測器					
Lightning	Lightning	闪电		Lightning	Lightning	闪电		
Lightning connector	Lightning	闪电接口		Lightning	Lightning	闪电接头		
like	按讚	点赞	讚好					
Link	連結;鏈結	链接	連結	链接			連結	链接
Link time	連結期	链接期						
linked list	鏈結串列;連結串列	链表	連結串列				連結串列	
Linker	連結器	链接器						
Liquid Retina HD	Liquid Retina HD	Liquid 视网膜高清	Liquid Retina HD					
List	清單；列表	列表						
Listener	監聽器	监听器						
Literal constant	字面常數，字面常值	字面常量						
Literals	字面值，定數，常值	字面值，字面量						
Live Photo	原況照片	实况照片	原況相片			实况照片		
Live Text	原況文字	实况文本	原況文字					
livelock	活結	活锁						
load	載入	加载	載入	加载			載入	加载
Load time	載入期	加载期						
Loader	載入器	加载器						
Local	區域的，本地的；本機	局部的，本地的；本地（主機）						
Local Area Network	區域網路	局域网	區域網絡					
Local variable	區域變數	局部变量						
localization	在地化	本地化	本地化					
Localization (L10N)	在地化	本地化						
Lock	鎖定	锁定						
Lock Screen	鎖定畫面	锁定屏幕	鎖定畫面					
Log	記錄;紀錄檔	日志						
log in					登入	登录		
Log in, Login	登入	登录						
log out		退出		退出				退出
Log out, Logout	登出	退出；注销						
logic device	邏輯裝置	逻辑器件						
Logic gate	邏輯閘	逻辑门	邏輯門					
logic synthesis	邏輯合成	逻辑综合						
Logical volume management	邏輯捲軸管理	逻辑卷管理						
Loop	迴圈；重複；循環;迴圈	循环	循環					
lossless	無失真	无损						
lossless compression	無失真壓縮	无损压缩	無損壓縮					
lossy compression	失真壓縮	有损压缩						
lost	遺失	丢失						
low definition	低畫質	低清	低清					
low level	低階	低级;低端						
low-fidelity (Lo-Fi)	低傳真	低保真	低傳真					
low-level language	低階語言	低级语言	低階語言	低级语言			低階語言	低级语言
low-level programming language	低階程式語言	低级编程语言	低階程式語言				低階程式語言	
LSI	大型積體電路	大规模集成电路						
Macao Information System Character Set					澳門資訊系統字集	澳门资讯系统字集		
Macao Supplementary Character Set					澳門增補字符集	澳门增补字符集		
machine code	機器碼	机器代码	機械碼				機械碼	
macro	巨集	宏		宏				宏
macro virus	巨集病毒	宏病毒						
macroblock	大區塊	宏块	大區塊	宏块			大區塊	宏块
Magic Board	巧控板	妙控板	精妙板					
Magic Keyboard	巧控鍵盤	妙控键盘	精妙鍵盤					
Magic Mouse	巧控滑鼠	妙控鼠标	精妙滑鼠					
mailing list	郵寄清單	邮件列表						
main memory	主記憶體		主記憶體		主記憶體	主存储器	主記憶體	
mainframe	大型電腦	大型机						
mainstream media	主流媒體	主流媒体	主流傳媒					
managed code	受控代碼	托管代码	受控代碼	托管代码			受控代碼	托管代码
map marker	地圖標示	地图标示						
Map, Mapping	對應；映射	映射						
mapping	對映	映射						
marketing	行銷	营销						
Markup Language	標示語言;標記式語言	置标语言;标记语言						
Mask	光罩;遮罩	掩模	遮罩				遮罩	
Master Boot Record	主開機紀錄	主引导记录						
match	符合;配對；符合；配合；比對；匹配	匹配	符合				符合	
medium	媒介	介质	媒介		媒介		媒介	
medium dependent interface	媒體相依介面	介质相关接口						
megabyte					百萬位元組	兆字节		
Memoji	Memoji	拟我表情	Memoji					
memory	記憶體	存储器;内存						
memory card	記憶卡	存储卡						
memory chip	記憶晶片	存储芯片						
memory leak	記憶體流失;記憶體漏失	内存泄漏						
menu	選單;選單；功能表	菜单						
merge	合併		合併				合併	
message	訊息	信息;消息；信息;消息						
message authentication code	訊息鑑別碼	消息认证码						
message box	訊息方塊	消息框						
message-oriented	訊息導向	面向消息						
message-oriented middleware	訊息導向中介層	面向消息的中间件						
meta-programming	元程式設計;超程式設計	元编程;超编程	元程式設計;超程式設計				元程式設計;超程式設計	
metadata	元資料;中繼資料 (win)；後設資料 (mac)；詮釋資料	元数据	元數據					
metal Oxide Semiconductor	金氧半導體	金属氧化物半导体						
metropolitan Area Network	都會網路	城域网						
micro-bitcoin					微比特	微比特		
micro-blog	微部落格;微型部落格	微博客;微型博客;微博	微博客;微型博客	微博				
Microcontroller	微控制器;單晶片	单片机						
middleware	中介軟體;中介層，中介軟體	中间件;中间件，中间软件						
Midnight Green	夜幕綠	暗夜绿	午夜綠					
MIDP	行動資訊裝置設定檔	移动信息设备配置文件	流動資訊器材定義檔					
midrange	中階	中级;中端						
Migration Assistant		迁移助理			系統移轉輔助程式			
milli-bitcoin					毫比特	毫比特		
minesweeper	踩地雷	扫雷						
mixed reality	混合實境	混合现实		混合实境				混合实境
Mixed-singal	混訊	混合信号						
Mixed-singal integrated circuits	混合訊號積體電路	混合信号集成电路						
Mobile	行動	移动						
mobile agent	行動代理	移动代理	流動代理					
mobile app	行動應用	移动应用	流動應用					流动应用
mobile broadcasting	行動廣播	移动广播	流動廣播					流动广播
mobile browser	行動瀏覽器	移动浏览器	流動瀏覽器					
mobile client	行動用戶端	移动客户端	流動用戶端					
mobile code	行動程式碼	移动代码	流動程式碼					
mobile commerce	行動商務		流動商務			移动商务		
Mobile communication	行動通訊	移动通信	流動通訊					
mobile company	電信公司	移动公司	流動公司					
mobile computer	行動電腦	移动计算机	流動電腦					
mobile computing	行動運算	移动计算	流動運算					
Mobile content management	行動內容管理	移动内容管理						
mobile data	行動資料	移动数据	流動數據					
mobile device	行動裝置	移动设备	流動裝置				流動裝置	
mobile Internet	行動網際網路	移动互联网	流動互聯網					
mobile Internet Device	行動網路裝置	移动联网设备	行動聯網裝置					
mobile network	行動網路	移动网络	流動網絡					
mobile network operator	行動網路業者	移动网络运营商	流動網絡營辦商					
mobile operating system	行動作業系統	移动操作系统	流動作業系統					
mobile operator	行動業者	移动运营商	流動營辦商					
mobile pay	行動支付	移动支付	流動支付					
mobile phone	行動電話	移动电话	流動電話					行动电话
mobile platform	行動平台	移动平台	流動平台					
mobile product	行動產品	移动产品	流動產品					
mobile software	行動軟體	移动软件	流動軟件					
mobile technology	行動技術;行動科技	移动技术;移动科技	流動技術;流動科技					
mobile telecom	行動電信	移动电信	流動電訊					
mobile telecom operator	行動電信業者	移动电信运营商	流動電訊營辦商					
mobile television	行動電視	移动电视	流動電視					
mobile terminal	行動終端;行動端	移动终端;移动端	流動終端;流動端					
mobile version	行動版	移动版	流動版					
Mobileline	行動電話	移动电话	流動電話					
mobility	行動性	移动性	流動性					
modem	數據機	调制解调器		调制解调器				调制解调器
Moderate, Moderation	審核	审核						
modifier	修飾詞;修飾子，修飾詞	修饰符						
modulation	調變	调制	調制					
Module	模組	模块	模組	模块			模組	模块
monolithic kernel	單核心	宏内核	整塊性核心					
Monomorphism	單型	单态						
MOSFET	金屬氧化物半導體場效電晶體	金属氧化物半导体场效应管						
most derived class	最末層衍生類別	最底层派生类						
motherboard	主機板	主板						
Mouse	滑鼠	鼠标		滑鼠				滑鼠
Mouse pointer	滑鼠指標	鼠标指针						
multi-channel network	多頻道聯播網	多频道网络						
multi-part archive	分割壓縮	分卷压缩						
multi-tasking					多工			
multiagent system	多代理系統	多主体系统						
multihoming	內送流量備援容錯機制	多宿主						
Multimedia Messaging Service	多媒體簡訊	彩信	多媒體短訊	多媒体简讯				多媒体短讯
Multiplexer	數據多工器	数据选择器						
Multitasking	多工（處理）	多任务（处理）						
multithreading		多线程		多线程				多线程
Multivibrator	複振器	多谐振荡器						
Mutable	可變的	可变的						
Mutex	互斥	互斥						
mutual information	相互資訊	互信息	相互資訊	互信息			相互資訊	互信息
My Document	我的文件	我的文档						
namespace	命名空間	命名空间	命名空間	命名空间			命名空間	命名空间
NAND gate	反及閘	与非门	與非門					
NAND logic	反及邏輯	与非逻辑	與非邏輯					
nanometer	奈米				納米	纳米		
narrowband	窄頻	窄带						
National Administration of Surveying, Mapping and Geoinformation					國家測繪地理信息局	国家测绘地理信息局		
native	原生	原生	原生				原生	
Natural	自然光	自然光	自然光				自然光	
Navigate, Navigation	導覽	导航						
navigation bar	導覽列	导航条						
Navigator	導覽器	导航器						
near-field communication	近場通訊		近場通訊			近场通信		
nest	巢狀	嵌套						
Nested	巢狀的	嵌套的						
Net disk	網路硬碟	网盘						
Netbook	小筆電	上网本	NetBook					
Netizen	網友							
Netscape Navigator	網景領航員	网景导航者						
Network	網路	网络	網絡					
network card		网卡		网卡				网卡
network database	網狀式資料庫	网状数据库	網絡資料庫					
Network Neighbourhood	網路上的芳鄰	网上邻居						
Network operator	網路業者	网络运营商	網絡營辦商					
Network Utility	網路工具程式	网络实用工具	網絡工具程式					
New	新增	新建						
Nine-segment display	九段顯示器	九段数码管	九劃管					
Nixie tube	數位管	数字管	數碼管			数码管		
Noise	雜訊	噪声	雜訊	杂讯				杂讯
NOR gate	反或閘	或非门	或非門					
NOR logic	反或邏輯	或非逻辑	或非邏輯					
normalization	規格化	规范化	規範化					
Norton Ghost	諾頓魅影系統	诺顿克隆精灵						
NOT gate gate	反閘	非门	非門					
Notarization	公證	公证						
NSB	國家安全局							
null list	空串列	空列表						
null string	空字串	空串						
NVIDIA	輝達	英伟达						
Object	物件	对象						
Object code	目的碼	目标代码	目標碼					
Object file	目的檔，目的碼檔;目的檔	目标文件	目標文件	目标文件				目标文件
Object-oriented	物件導向	面向对象						
Object-oriented programming	物件導向程式設計	面向对象编程						
octree	八元樹	八叉树	八叉樹					
Office Shortcut Bar	快捷列	快捷工具栏						
Office Suite					辦公室套件	办公室套件		
offline	離線		離線				離線	
on the Internet	網路	网络	網上					
On-Line Analytical Processing	連線分析處理	联机分析处理						
On-Line Transaction Processing	線上異動處理	联机交易处理						
Online	線上	在线			連線			
online hard drive	網路硬碟	网络硬盘	網絡硬碟					网络硬碟
online shopping	網路購物	网络购物	網絡購物					
online video	網路影片	在线视频	線上影片					
open	開啟	开启						
Open Handset Alliance	開放手機聯盟	开放手持设备联盟						
Open Mobile Alliance	開放行動聯盟	开放移动联盟	流動通訊開放制式聯盟					
operand	運算元	操作数;操作数，运算元						
Operating system	作業系統	操作系统						
operation object	運算物件	操作对象						
operator	運算子	运算符;操作符，运算符	運算子	运算符	運算符號	运算符号	運算子	运算符
optical image stabilization	光學影像穩定	光学图像防抖	光學影像防震					
Optical Network Terminals	光纖網路終端	光网络终端						
optimal					最佳			
optimal binary search tree	最佳化二元搜尋樹	最优二叉搜索树						
optimization					最佳化	优化		
Optimize, Optimization	最佳化	优化						
Option	選項	参数						
OR gate	或閘	或门	或門					
outport	匯出	导出						
overflow	溢位;溢位（上限溢位）	溢出;溢出（上溢出）		溢出				溢出
Overlay	嵌入介面	叠加面板						
overload	多載，覆載，重載;多載	重载		重载				重载
Override	覆寫，重寫;覆寫	覆盖，重写;改写						
p-n junction	p-n接面;P-n接面;P-N接面	p-n结;P-n结;P-N结	p-n結;P-n結;P-N結					
Pacific Blue	太平洋藍色	海蓝色	太平洋藍色					
Pack	封裝，壓縮	打包，压缩						
package		包		包				包
Package (noun)	套件，軟體包	（程序、软件）包						
Package (verb)	封裝	打包，封装						
package management system	軟體套件管理系統	软件包管理系统	軟件套件管理系統					
package of software	軟體套件	软件包	軟件套件					
Packet	封包	分组						
packet switch	封包交換	分组交换						
page view	瀏覽量	访问量						
paint		画图		画图				画图
palette	調色盤	调色板						
Pane	窗格 (win)；面板 (mac)	窗格 (win)；面板 (mac)						
paradigm	範式	范型						
parallel	並列	并行						
parallel computing	平行計算	并行计算						
parallel port	並列埠	并行端口	並列埠				並列埠	
Parallelism	平行性，平行	并行性，并行						
