en	tw	cn	hk	sg	hant	hans	mo	my
Parameter	參數	参数（也称为形式参数，形参）						
parameter list	參數列	参数列表;参数表						
parent class	父類別	父类						
Parse	分析；剖析；解析	解析						
parser	剖析器;語法剖析器	分析器;语法分析器						
partition	分割區;分割；（硬碟）分割區	分区;分割；（硬盘）分区	分區					
Passive filter	被動式濾波器	无源滤波器						
Password Authentication Protocol	通行碼鑑別協定	密码认证协议						
Paste	貼上	粘贴						
Patch	更新檔 (win)；修補程式 (mac);修補程式	补丁 (win)；修补程序 (mac);补丁						
Pattern	模式；樣式;範式	模式；样式;模式						
Peer-to-Peer	對等	点对点	點對點					
perfect code	完整码	完备码						
Performance	效能	性能						
permission		权限		权限				权限
Persistence	持續性;永續性	持久性						
Personal Area Network	個人區域網路	个人网						
personal digital assistant	個人數位助理	个人数码助理	個人數碼助理					
Personal message	私訊	私信						
personal website	個人網站	个人网站	個人網站					
Petabyte					拍位元組	拍字节		
photo	相片;照片	照片						
photocopy	影印	复印						
Photodiode	光電二極體	光电二极管						
Photolithography	微影	光刻						
Photomask	光罩	光掩模						
Photoresist	光阻劑	光刻胶						
Photos	照片	照片	相片					
Photovoltaics	太陽能光電	太阳能光伏;光伏						
physical address	實體位址	物理地址						
Physical layer	實體層	物理层						
physical memory	實體記憶體	物理内存						
Picklist	挑選清單 (win)；選取列表 (mac)	选择列表						
picture viewer	圖片檢視器	图片查看器			圖片檢視器			
Pinch off	夹止	夹断						
pipeline	管線	流水线	管線				管線	
pipelining	管線	流水线	管線化				管線化	
pixel		像素	像素	像素			像素	像素
Placeholder	佔位符號，；預留位置 (win)；暫存區 (mac);預留位置	占位符						
Plug and Play	隨插即用	即插即用						
plug-in	外掛程式	插件		插件				插件
Pluggability	可拔插性	可插入性						
Plugin	外掛程式 (win)；外掛模組 (mac)	插件 擴展						
PN junction	PN接面;Pn接面;pn接面;P-N接面	PN结;Pn结;pn结;P-N结	PN結;Pn結;pn結					
Podcast	播客	播客			Podcast			
Point & Click (noun)	點按	点按						
point and click		点击	點擊	点击			點擊	点击
pointer	指標	指针						
polymorphism	多型	多态						
Popups	彈出式視窗	弹出窗口						
port	埠;（連接）埠	端口	埠				埠	
port forwarding	通訊埠轉發	端口转发						
portable	可攜式	便携式	可攜式	便携式			可攜式	便携式
portable application	可攜式軟體	绿色软件	可攜式軟件				可攜式軟件	
Portable Document Format	可攜式文件格式	可移植文档格式						
portable edition	可攜式版本	便携版						
portable hard drive	行動硬碟	移动硬盘	流動硬碟					
portal	入口網站	门户网站;门户系统	入門網站;入門系統					
Portrait Lighting	人像光線	人像光效	人像燈光				人像燈光	
post	貼文	帖子		贴文				贴文
power bank	行動電源	移动电源;移动电源，充电宝	流動充電器					
Power factor	功率因素	功率因数	功率因數					
Power inverter	變流器	脉冲逆变器;逆變器;逆变器						
Power line frequency	電源頻率	工频						
PPTV					PP視頻	PP视频		
preference	偏好設定		參數設置				參數設置	
preference settings	偏好設定	首选项	參數設置					偏好设置
prefix	字首	前缀						
presentation	簡報	演示稿						
Presentation layer	表現層	表示层						
Preset	預設	预设						
print	列印	打印						
print preview	預覽列印	打印预览						
printer	印表機;列印機，印表機	打印机						
Private Relay	私密轉送	专用代理	私密轉送				私密轉送	
procedural generation		过程生成		过程生成				过程生成
procedural programming	程序導向;程序化;程序式	面向过程;过程化;过程式						
Procedure	程序	过程						
process	行程;行程；程序;製程	进程	行程	进程			行程	进程
process control block	過程控制段	进程控制块	行程控制表					
process group	行程群組	进程组						
product key	產品金鑰	产品密钥						
Profile	設定檔 (win)；描述檔 (mac);評測;設定檔	配置文件 (win)；描述文件 (mac);评测;配置文件						
Profile (or Personal profile)	個人檔案	个人资料						
Profiler	（效能）分析工具	（性能）分析器						
program	程式	程序						
programmable	可程式化	可编程		可编程				可编程
Programmable Array Logic	可程式化陣列邏輯	可编程阵列逻辑						
Programmable Gate Array	可程式化邏輯閘陣列	可编程逻辑门阵列						
Programmable Logic Array	可程式化邏輯陣列	可编程逻辑阵列						
programmer	程式設計師	程序编写员;程序员						
programming language	程式語言	编程语言	程式語言	编程语言			程式語言	编程语言
Programming paradigm	程式設計範式	编程范型						
project	專案	项目;工程;项目，工程	計劃	项目			計劃	计划
project page	計畫頁	项目页						
Protective relay	保護電驛	保护继电器						
protocol	協定	协议						
prototype-based programming	原型程式設計	基于原型的编程						
Provision, Provisioning	佈建	预配						
proximity sensor	鄰近感測器	接近传感器						
Proxy (or Proxy server)	代理伺服器	代理服务器						
Pseudo code	虛擬碼	伪代码						
Pseudocode	虛擬碼	伪代码	偽代碼					
PSK	相位移鍵	移相键控						
Public land mobile network	公用陸上行動網路	公共陆基移动网	公地流動網路					
Pull-down list	下拉式清單	下拉列表						
pull-down lists	下拉式清單	下拉列表						
Pulse	脈波	脉冲	脈衝					
purge	清除快取	清理缓存	清除快取				清除快取	
push	推播	推送						
QR code		QR码	QR碼	QR码			QR碼	QR码
quadtree	四元樹	四叉树	四叉樹					
Quality	品質	质量	質素	质量			質素	质量
queue	佇列	队列						
QuickPath	快滑	速滑	快滑					
QuickTake video	影片快錄	视频快录	閃錄影片					
Quit unexpectedly	(App)閃退	意外退出						
Race harzard	競爭危害	竞争冒险						
Radian	徑度	弧度						
Radio button	選項按鈕 (win)；圓形按鈕 (mac);無線電鈕	单选按钮						
radio-frequency identification	無線射頻辨識	射频识别	無線射頻辨識	射频识别				
RAM	唯讀記憶體	只读存储器						
RAM (Random Access Memory)	隨機存取記憶體	随机存取存储器						
random number	亂數	随机数						
random-access					隨機存取	随机存取		
random-access memory	隨機存取記憶體	随机存储器						
rate of coincident code					重碼率	重码率		
Read	讀取	读						
Read-only	唯讀	只读						
read-only memory	唯讀記憶體	只读存储器						
readme	讀我檔案	自述文件						
real mode	真實模式	实模式	真實模式	实模式			真實模式	实模式
real-time	即時		即時				即時	
reboot	重新啟動	重启		重启				重启
recognition	辨識	识别						
Reconfigurable computing	可重組計算	可重构计算						
recover		恢复		恢复				恢复
Recovery	復原，還原	还原 (win)，恢复 (mac)						
recovery disc	還原光碟	恢复光盘						
recovery record	恢復記錄	恢复记录	修復記錄					
recursion	遞迴	递归	遞歸					
Recycle Bin	資源回收筒	回收站						
Red Screen	紅白畫面	红屏	紅畫面		紅屏			
Red Screen of Death	紅白當機	红屏死机	紅畫面死機		紅屏死機			
redirect	重新導向	重定向						
redirect page	重新導向頁面	重定向页	重新導向頁面				重新導向頁面	
Redirect, Redirection	重新導向；轉址	重定向						
Reference	參照，參考;參照	参考;引用		引用				引用
References					參考資料	参考资料		
refresh	重新整理	刷新						
refresh rate	重新整理頻率	刷新率						
Register	暫存器；註冊;暫存器	寄存器；注册;寄存器						
registry	登錄檔	注册表						
regular expression	正規表示式;正規表示式；正規表示法；正規表達式；規則運算式	正则表达式	正則表達式					
regular language	正規語言	正则语言	正則語言	正则语言				正则语言
reinstallation	重新安裝	重装						
relational		关系		关系				关系
relational database	關聯式資料庫	关系数据库						
release	釋出;（發行、發布）版本	发行;（发行、发布）版本;发布		发布				发布
remote	遠端	远程						
remote desktop protocol	遠端桌面協定	远程桌面协议						
remote procedure call	遠端程序呼叫	远程过程调用						
removable	抽取式	可移动						
rename	重新命名	重命名						
render	算繪；渲染	渲染	渲染	渲染			渲染	渲染
repeating group	重複群	重复组						
reply					回覆;答覆	回复;答复		
Republic of Gamers	玩家共和國	玩家国度						
reset	重設	重置						
Resolution	解析度	分辨率	解像度					
Response	回應	响应						
Response body	回應本文	响应正文						
Response header	回應標頭	响应头						
Restore	還原 (win)，回復 (mac)	还原 (win)，恢复 (mac)						
Retina HD	Retina HD	视网膜高清	Retina HD					
Return	回傳，傳回；恢復	返回；恢复						
Reverse	逆向	反向						
Revoke, Revocation	撤銷	撤销						
Rich Internet application	多樣化網際網路應用程式	丰富互联网应用程序	多樣化互聯網應用程式					
Ripple	漣波	纹波						
Rollback	復原;轉返	回滚，回退;回滚						
rolling update					滾動更新	滚动更新		
routine	常式	例程;程序						
Run	執行	运行	執行				執行	
running in the background	背景執行	后台运行						
Runtime environment (RTE), Runtime system	執行環境；執行系統	运行环境；运行系统						
Runtime, Run-time	執行期；執行環境	运行期，运行时；运行环境						
Safari	Safari	Safari浏览器						
sample	範例	示例						
Sampling	取樣	采样;取样						
sampling rate	取樣率	采样率	取樣率	采样率			取樣率	采样率
Sampling Theorem	取樣定理	采样定理						
SanDisk	新帝	闪迪	SanDisk		新帝國	新帝国		
save	儲存	保存	儲存				儲存	
Scalar	純量	标量						
scanner	掃描器	扫描仪						
Schedule	排程	调度						
scheduler	排程器;排程器，排程程式	调度器;调度器，调度程序						
Schmitt trigger	施密特觸發器	施密特触发器						
Schottky	蕭特基	肖特基						
Scope	（作用、有效）範圍，域	（作用、有效）范围，域						
screen	螢幕	屏幕	螢幕					
Screen Sharing		屏幕共享			螢幕共享			
screensaver	螢幕保護裝置	屏幕保护程序	螢幕保護裝置					
screenshot	螢幕擷取	截屏	螢幕擷取					
script	指令碼;指令碼 (win)；工序指令 (mac)	脚本						
script kiddie					腳本小子	脚本小子		
scripting language	手稿語言	脚本语言						
scroll	捲動	滚动						
Scroll bar	捲軸	滚动条;滚动栏						
scroll box	捲動方塊	滚动框						
SDK	軟體開發套件	软件开发工具包	軟件開發套件					
SDK (Software Development Kit)	軟體開發工具包 (win)；軟體開發套件 (mac)	软件开发工具包 (win)；软件开发套件 (mac)						
SDM	空間多工	空分复用	空分複用					
SDMA	分空間多重進接	空分多址	空分多址					
search	搜尋	搜索						
search box	搜尋方塊	搜索框						
Search engine	搜尋引擎	搜索引擎						
search key	搜尋鍵碼	搜索关键字						
second normal form	第二正規化	第二范式						
sector	磁區	扇区						
Secure Sockets Layer	安全通訊協定	安全套接层						
Security	安全性	安全性						
security software	安全軟體	安全软件	保安軟件					
Security updates	安全性更新	安全性更新	保安更新					
Segment	區段	段						
Semantic Web	語意網	语义网						
semantics	語意	语义						
semaphore	號誌	信号量	訊號量					
send	傳送	发送						
send SMS	傳簡訊	发短信	傳短訊	发简讯				发短讯
sensor	感測器	传感器			感測器	传感器		
Sequencing	定序	测序						
Sequential logic					序向邏輯	时序逻辑		
Serial	序列	串行						
Serial computing	序列計算	串行计算						
Serial port					序列埠	串行端口;串口		
server	伺服器	服务器						伺服器
server message block	伺服器訊息區塊	服务器消息块						
Server-side	伺服器端	服务器端，服务端;服务端	伺服器端	服务端			伺服器端	
service framework	服務架構	服务框架						
Service plan	服務專案	服务套餐	服務計劃	服务配套				
session	對談;工作階段，作業階段;（電腦網路）對談/話，會談/話；連線階段	会话						
session hijacking	連線劫持	会话劫持						
session ID	交談識別碼	会话标识						
Session Identity	交談識別碼	会话标识						
Session layer	會議層	会话层						
Set up	設定	设置						
set-top box	機上盒;數位電視機上盒	机顶盒	機頂盒;數碼電視解碼器	电视解码器		机顶盒	機頂盒	数码电视解码器
setting	設定	设置	設置					
Settings	設定	设置						
Seven-segment display	七段顯示器	七段数码管	七劃管					
Shannon	夏農	香农	山農					
share	共享	共享	共用					
shared folder	共用資料夾	共享文件夹		共享文件夹				共享文件夹
shareware	共享軟體	共享软件						
shield	遮蔽	屏蔽						
short video	短影音	短视频	短影音					
Shortcut	捷徑	快捷;快捷方式						
shortcut key	快速鍵	快捷键						
Shortcuts	捷徑	快捷指令						
Sign in, sign-in	登入	登录						
Sign out, sign-out	登出	退出，注销						
signal	訊號	信号	訊號	信号;讯号			訊號	信号;讯号
Signal-to-noise ratio	訊號雜訊比	信噪比						
Signal-to-noise ratio, SNR	訊雜比	信噪比	訊噪比					
Signaling System Number 7	第七號發信系統	七号信令系统	七號信令系統					
signature	簽章;簽章；簽名	签名						
Silicon	矽	硅						
Silicon controlled rectifier	矽控整流器	可控硅						
simulated reality	模擬實境	模拟现实						
Simulation	模擬	模拟						
Sina Blog					新浪博客	新浪博客		
Sina Video					新浪視頻	新浪视频		
Sine signal	正弦訊號	正弦信号						
Single Link	單連結	单通道						
single sign-on	單一登入	单点登录						
Site Identity Button	網站識別鈕	站点标识按钮						
Sixteen-segment display	十六段顯示器	十六段数码管	十六劃管					
sixth normal form	第六規格化	第六范式						
skin	外觀		佈景主題				佈景主題	
slider	滾軸;滑桿	滑块						
Slot	時槽	时隙						
Smart	智慧;智慧型	智能	智能	智慧				
smart card	智慧卡	智能卡	智能卡	智慧卡				
Smart Keyboard	聰穎鍵盤	智能键盘	智慧型鍵盤					
Smart Keyboard Folio	鍵盤式聰穎雙面夾	键盘式智能双面夹	智慧型摺套連鍵盤					
Smart speaker	智慧型喇叭	智能音箱	智能音箱					
smart television	智慧型電視	智能电视	智能電視					
Smartone					數碼通	数码通		
smartphone	智慧型手機	智能手机	智能電話		智能手機	智能电话		
smartwatch	智慧型手錶	智能手表	智能手錶	智慧手表				
SMS	簡訊	短信	短訊	简讯			短訊	短讯
SMS (Short Message Service)	簡訊	短信						
Snip	擷圖	截图						
Social account	社群帳號	社交账号	社交帳號					
social media	社群媒體	社交媒体	社交媒體					
social network	社群網路	社交网络	社交網絡					
social networking site	社群網站	社交网站	社交網站					
Social platform	社群平台	社交平台	社交平台					
socket	通訊端	套接字		套接字				套接字
sockets layer	通訊層	套接层						
Soft baking??	軟烤	软烘干						
software	軟體	软件	軟件					
software process	軟體流程	软件过程	軟件流程					
Sogou Search					搜狗搜索	搜狗搜索		
Sohu Blog					搜狐博客	搜狐博客		
Sohu Video					搜狐視頻	搜狐视频		
solid archive	結實壓縮	固实压缩						
Sony Mobile	索尼行動	索尼移动	索尼流動					
Sony Mobile Communications	索尼行動通訊	索尼移动通信	索尼流動通訊					
Sound card	音效卡	声卡						
source code	原始碼	源代码;源代码，源码	原始碼	原始码			原始碼	原始码
source file	原始檔	源文件						
Space Gray	太空灰	深空灰	太空灰					
Splash, Water, and Dust Resistant	防潑、抗水與防塵	防溅、抗水、防尘	防濺、耐水及防塵					
Split View	分割顯示	分屏浏览						
Spotlight	Spotlight	聚焦	Spotlight					
spread-spectrum	展頻;展譜	扩频;扩谱						
spreadsheet	電子試算表	表格;电子表格		表格				表格
SSD	固態硬碟	固态盘						
stack	堆疊	堆栈;栈						
stack frame	堆疊框	堆栈帧	堆疊幀				堆疊幀	
stack-oriented	堆疊導向	面向堆栈						
Stage	舞台燈光	舞台光	舞台燈光				舞台燈光	
Stage Mono	舞台燈光黑白	单色舞台光	黑白舞台燈光				黑白舞台燈光	
standard definition	標準畫質	标清	標清					
Star rating	星級評等 (win)；星號評等 (mac)	星级评分						
Starting	啟動器	启辉器	士撻膽					
Statement	敘述，陳述（句）;語句	语句	陳述式					
static typing	靜態型別	静态类型						
status bar	狀態列	状态栏						
Stepper	步進器	步进器						
Stickies		便笺			便條紙			
sticky keys	相黏鍵	粘滞键						
storage	儲存	存储	儲存				儲存	
stored procedure	儲存程序	存储程序	儲存程序	存储程序			儲存程序	存储程序
Stream	串流；資料流;串流	（数据）流;流	串流	流			串流	流
stream cipher	串流加密法	流密码						
streaming media	串流媒體	流媒体						串流媒体
String	字串	字符串						
String interpolation	字串插值	字符串插值						
strong typing	強型別	强类型						
Student ID	Student ID	学生卡	學生證					
Studio	攝影棚燈光	摄影室灯光	影樓燈光				影樓燈光	
Stuttering	（軟體或影片的畫面）斷斷續續	-						
Subclass	子類別	子类						
submit		提交		提交				提交
subnet	子網路	子网	子網絡					
subnet mask	子網路遮罩	子网掩码	子網絡遮罩					
subroutine	次常式;副程式	子例程						
Substrate	基板	衬底						
Subthreshold	次臨界	亚阈值						
suffix	字尾	后缀						
Sumavision					數碼視訊	数码视讯		
Sun Microsystems	昇陽電腦	Sun微系统	太陽電腦					
super computer	超級電腦	超级计算机						
Super Retina XDR	超 Retina XDR	超视网膜 XDR	超級 Retina XDR					
Superclass	父類別	超类						
Superposition theorem	重疊定理	叠加定理						
support	支援	支持						
support he					支持他;他支持	支持他;他支持		
support me					支持我	支持我		
support she					她支持;支持她	她支持;支持她		
support vector					支持向量	支持向量		
supporter					支持者	支持者		
Suspend	暫停（權限）	暂停（权限）						
Synchronize	同步	同步						
Synchronous	同步的	同步的						
Syntactic analysis	語法分析；語法剖析	语法分析						
syntax highlighting	語法突顯	语法高亮	語法突顯	语法高亮			語法突顯	语法高亮
system (format)	格式		格式				格式	
System in package, SiP	封裝體系	封装内系统						
System Information	系統資訊	系统信息	系統資料					
System on a chip, SoC	單晶片系統	单片系统						
System Preferences		系统偏好设置			系統偏好設定			
Tab	索引標籤，分頁，標籤（頁）;索引標籤;分頁	标签（页）;选项卡;标签页						
tablet computer					平板電腦	平板电脑		
Tag	標記	标签						
tail recursion	尾端遞迴	尾部递归						
Tap (vs. Click)	輕觸 (win)；點一下 (mac)	触碰 (win)；轻点 (mac)						
Tape-out	下線	流片						
target	目標軟體	目标软件	目標軟件					
target user	目標使用者	目标用户						
Task	工作	任务						
task bar	工作列	任务栏						
task manager	工作管理員	任务管理器						
task switch	工作切換	任务切换						
TDM	分時多工	时分复用	時分複用					
TDMA	分時多重進接	时分多址	時分多址					
Telephoto	望遠	长焦	長焦距					
Television channel					電視頻道	电视频道		
Template	範本;模板	模板	模板	模板			模板	模板
Tencent Blog					騰訊博客	腾讯博客		
Tencent Cloud					騰訊雲計算	腾讯云计算		
Tencent Video					騰訊視頻	腾讯视频		
Terabyte					兆位元組	太字节		
terminator	終端子	终结器						
ternary linked list	三元連結串列	三叉链表	三元連結串列				三元連結串列	
ternary search tree	三元搜尋樹	三叉搜索树	三叉搜尋樹				三叉搜尋樹	
ternary tree	三元樹	三叉树	三叉樹					
terrestrial	無線		無線				無線	
terrestrial broadcasting	無線廣播	地面广播	地面廣播					
terrestrial television	無線電視	地面电视	地面電視					
Text	文字	文本	文字				文字	
Text box	文字框	文本框						
text editor	文字編輯器	文本编辑器						
text file	文字檔案	文本文件						
textbox	文字方塊	文本框	文本框					
TextEdit		文本编辑			文字編輯			
theme	佈景主題							
third normal form	第三正規化	第三范式						
Thread	執行緒	线程						
threads	執行緒	线程	線程					
throw	丟擲	抛出	投擲					
Thrystor	閘流體	晶闸管						
thumbnail	縮圖	缩略图						
Thunderbolt	Thunderbolt	雷雳	Thunderbolt					
Tik Tok					抖音短視頻	抖音短视频		
Time division	分時	时分	時分					
Time Machine		时间机器			時光機			
timeout					逾時	超时		
Tips	提示	提示	貼士					
title bar	標題列	标题栏						
Token	權杖；代幣;權杖;符記;標記 (win)；代號 (mac)	权杖；代幣;令牌;权标;标记 (win)；令牌 (mac)						
toolbar	工具列	工具栏						
Top-up	加值，儲值	充值						
touch	輕觸	触摸						
Touch ID		触控ID			Touch ID			
TouchPad	觸控板	触摸板						
touchscreen	觸控螢幕;觸控式螢幕	触屏;触摸屏	輕觸螢幕;輕觸式螢幕					
track	磁軌	磁道						
traditional (Chinese)		繁体	繁體	繁体			繁體	繁体
Transistor	電晶體	晶体管						
Transmission gate	傳輸閘	传输门	傳輸門					
Traverse	走訪	遍历						
Tray (or System tray)	系統匣	系统托盘						
Tree	樹	树						
Trinitron	特麗霓虹	特丽珑						
troubleshooting	疑難排解	疑难解答						
True Tone	原彩顯示	原彩显示	原色調顯示					
TrueDepth	原深感測	原深感	原深感測					
TrueDepth camera	原深感測相機	原深感摄像头	原深感測鏡頭					
Tuple	元組	元组						
Turing completeness	圖靈完備	图灵完备	圖靈完備	图灵完备			圖靈完備	图灵完全
Turn-by-Turn	轉向導航路線	逐向导航	逐步導航					
Tutorial	教學	教程						
two-dimensional code	二維條碼	二维码	二維條碼	二维码			二維條碼	二维码
type	型別，型態	类型		类型				类型
type checking	型別檢查	类型检查						
type system	型別系統	类型系统						
Ultra High definition	超高畫質	超高清	超高清					
Ultrabook	超極致筆電	超极本	Ultrabook				Ultrabook	
unary function	一元函式	单参函数						
underflow		下溢		下溢				下溢
underline	底線	下划线						
undo	復原	撤销	復原				復原	
unified shader model	統一著色器架構	统一渲染架构						
uninstall	解除安裝	卸载	解除安裝				解除安裝	
Universal	通用的	通用的						
Universal Access		辅助功能			輔助使用			
Universal motor	交流整流子電動機	单相串励电动机						
Universal Serial Bus	通用序列匯流排	通用串行总线;通用序列总线	通用序列匯流排	通用串行总线			通用序列匯流排	通用串行总线
update	更新		更新				更新	
upload	上傳	上传	上載					
UPS	不斷電系統	电源保护						
URL shortening	縮網址	缩略网址						
USB Digital TV tuner	USB數位電視棒	USB数字电视棒	高清USB手指					
USB flash drive	隨身碟;USB隨身碟	U盘	USB手指	U盘			USB手指	U盘
USB TV Tuner	USB電視棒	USB电视棒	USB電視手指					
USB-IF	USB開發者論壇	USB开发者论坛						
user	使用者	用户	用戶	用户			用戶	用户
user group	使用者群組	用户组	用戶組	用户组			用戶組	用户组
user interface	使用者介面;人機介面	用户界面;人机界面	用戶介面	用户界面				用户界面
user page	使用者頁面	用户页	用戶頁	用户页				用户页
user-generated content/user-created content	使用者供應內容				用戶生成內容	用户生成内容		
userbox	使用者方塊	用户框	用戶框					
username	使用者名稱	用户名	用戶名	用户名				用户名
Utility frequency	電源頻率	工频						
Variable	變數	变量	變量					
variable bitrate	變動位元率	可变码率	動態編碼率					
vector	向量		向量				向量	
vector graphics	向量圖形	矢量图形						
vestigial sideband	殘邊帶	残余边带						
VGA connector	視訊連接頭	视频接口	影像端子					
Video	視訊;影片；視訊	视频	視像					
video card	顯示卡	显卡	顯示卡	显卡			顯示卡	显卡
video conference	視訊會議	视频会议	視像會議					
video document	視訊檔案	视频文档						
video file	視訊檔	视频文件;视频档	影片檔					
video game					電動遊戲	视频游戏		
video input	視訊輸入	视频输入	視頻輸入					
video memory	視訊記憶體	显存	影像記憶體					
video output	視訊輸出	视频输出	影像輸出					
video processor	影像處理器	视频处理器						
video streaming	影音串流	影音流						
video track	視訊軌	视频轨	視頻軌					
videotape	錄影帶	录像带	錄影帶				錄影帶	
view	檢視;檢視；顯示；視圖	查看;查看；顯示；视图						
virtual function	虛擬函式	虚函数						
virtual machine	虛擬機器	虚拟机						
virtual memory	虛擬記憶體	虚拟内存						
Virtual Private Network	虛擬私人網路	虚拟专用网						
virtual reality	虛擬實境	虚拟现实		虚拟实境				虚拟实境
visit		访问		访问				访问
visit link	造訪連結	访问链接						
visit webpage	造訪網頁	访问网页						
visit website	造訪網站	访问网站						
visual	視覺化	可视化						
VLSI	超大型積體電路	超大规模集成电路						
Voice	語音	语音						
Voice Memo	語音備忘錄	语音备忘录	錄音機					
VoiceOver		旁白			旁白	旁白		
volatile (memory)	揮發性	易失性						
Volume	磁碟區 (win)；卷宗 (mac)	卷 (win)；宗卷 (mac);卷		卷				卷
von Neumann	馮·諾伊曼	冯·诺依曼	馮紐曼					
Wallet	錢包	钱包	銀包					
wallpaper	桌布	壁纸						
watermark	浮水印	水印						
Watson	華生	沃森						
WDM	波長分波多工	波分复用	波分複用					
weak typing	弱型別	弱类型						
web animation	網路動畫	网络动画	網絡動畫					
webcache	頁面快取檔	网页快照						
webcam	網路攝影機	摄像头	網絡攝影機					
webcomics	網路漫畫	网络漫画	網絡漫畫					
Western Digital	威騰電子	西部数据						
Wide Area Network	廣域網路	广域网						
wide screen	寬螢幕	宽屏	闊螢幕				闊螢幕	
Widget	視窗元件；小工具;小工具	窗口部件；小部件;小组件						
Wikidata					維基數據	维基数据		
Wikimedia Commons					維基共享資源	维基共享资源		
Wildcard	萬用字元	通配符						
wildcard character	萬用字元	通配符		万用字元				
Wind River	溫瑞爾	风河						
window	視窗	窗口						
window manager	視窗管理員	窗口管理器						
Windows Explorer	檔案總管	资源管理器						
Wire bonding	打線接合	引线键合						
wizard	精靈	向导						
word process	文書處理	文字处理						
word processor	文書處理器	文字处理器						
workgroup	工作群組	工作组						
Workspaces	工作區；工作空間	工作区						
World Internet Conference					世界互聯網大會	世界互联网大会		
World Wide Web	全球資訊網	万维网	萬維網					
World Wide Web Consortium	全球資訊網協會	万维网联盟	萬維網聯盟					
Write	寫入	写						
write protection	防寫	写保护						
write-only	唯寫	只写						
write-only memory	唯寫記憶體	只写存储器						
wubi					五筆字型	五笔字型		
WWDC					Apple 全球開發者大會	苹果全球开发者大会		
X window system	X視窗系統	X窗口系统	X Window系統	X窗口系统				X窗口系统
Xerox	全錄	施乐	施樂					
Xigua Video					西瓜視頻	西瓜视频		
XNOR gate	反互斥或閘	同或门	同或門					
XNOR logic	反互斥或邏輯	同或逻辑	同或邏輯					
XOR	互斥或	异或	異或					
XOR gate	互斥或閘	异或门	異或門					
XOR logic	互斥或邏輯	异或逻辑	異或邏輯					
XXX language interface	文介面	文界面	文介面					
y2k	千禧蟲		千年蟲			千年虫		
Yottabyte					佑位元組	尧字节		
Zener diode	稽納二極體	齐纳二极管	齊納二極體					
Zettabyte					皆位元組	泽字节		
Zuckerberg	祖克柏	扎克伯格	朱克伯格					
